state,city,evidence_status,corpus_status,codified,matched_design_status,strongest_claim_candidate,claim_ids_supported_or_relevant,leading_mechanism_attributes,key_supporting_contracts_or_candidate_sources,evidence_basis,reasoning_summary,main_limitations,next_source_needed,recommended_next_action,notes
MA,Franklin,codified_evidence,ingested,yes,matched_triad,MA cross-occupation base (CLM-2026-07-12-03); safety pressure conversion channels (CLM-2026-07-12-04),CLM-2026-07-12-03;CLM-2026-07-12-04;CLM-2026-07-12-05,overtime_callback_holdover_mandatory_extra_work;hazard_risk_stress_or_line_of_duty_rationale;classification_reclassification_or_grade_structure,ma_franklin_police_2022;ma_franklin_fire_2022;ma_franklin_library_2022;ma_franklin_other_2022;ma_franklin_public_works_2022,5 codified contracts (5 occupation classes); 110 evidence-layer rows per national_corpus_expansion_preflight_2026-07-12.md.,One of two Massachusetts cities (with Seekonk) supplying a full 5-occupation-class comparison in one overlapping cycle; anchors CLM-03/04/05.,"Mechanism presence, not wage-effect size; codify windows are curated, not full-document.",Repeat cycle (post-2025) for the same units; MA SJC/JLMC award materials if available.,codify_more,Report-ready as evidence-base description per claim_readiness_table_2026-07-12.csv (CLM-03 report_ready=maybe).
MA,Seekonk,codified_evidence,ingested,yes,matched_triad,MA cross-occupation base (CLM-2026-07-12-03); non-safety classification/admin channel (CLM-2026-07-12-05),CLM-2026-07-12-03;CLM-2026-07-12-04;CLM-2026-07-12-05,grievance_or_contract_interpretation_arbitration;union_security_or_institutional_power;non_safety_wage_restraint_or_admin_channel;classification_reclassification_or_grade_structure,ma_seekonk_police_2022;ma_seekonk_fire_2022;ma_seekonk_library_2023;ma_seekonk_public_works_2023;ma_seekonk_teacher_2021,"6 codified contracts (6 occupation classes, richest single-city set in the corpus); 103 evidence-layer rows.","The corpus's widest single-city occupation spread (police, fire, library, public works, teacher); complements Franklin as the second dense MA anchor.","Same limitations as Franklin: mechanism presence only, curated windows.",Repeat cycle for the same units; MA JLMC/interest-arbitration materials if a safety impasse occurred.,codify_more,Report-ready as evidence-base description per claim_readiness_table_2026-07-12.csv.
MA,Wayland,codified_evidence,ingested,yes,matched_triad,Safety pressure conversion channels (CLM-2026-07-12-04); MA cross-occupation base (CLM-2026-07-12-03),CLM-2026-07-12-03;CLM-2026-07-12-04,minimum_staffing_or_continuous_coverage;classification_reclassification_or_grade_structure,ma_wayland_fire_jlmc_2020;ma_wayland_other_2021 (police contract also in data/contracts.csv),3+ codified contracts including a JLMC fire arbitration award; 40 evidence-layer rows.,"One of the few MA cities with a fire interest-arbitration award (JLMC) directly codified, useful for the arbitration-distinction claim.",The fire arbitration award itself returned 0 verified-present attributes per source_inventory_for_report_2026-07-10.csv; other_2021 is OCR-messy text quality.,A cleaner-text repeat cycle; a Wayland police interest-arbitration record if one exists.,codify_more,Fire award's zero-attribute result should be reviewed before further claim weight is placed on it.
MA,Boston,codified_evidence,ingested,yes,matched_pair,MA cross-occupation base (CLM-2026-07-12-03),CLM-2026-07-12-03,classification_reclassification_or_grade_structure,"ma_boston_clerical_admin_2023 (police contract also in data/contracts.csv, not fully codified)",Codified clerical_admin contract (3 verified-present attributes); 22 evidence-layer rows; police present in contracts.csv but only partial coverage per audit.,"Boston supplies a large-city clerical/police pair but currently lacks a fire contract, so it cannot support a full triad claim.",No fire leg; only 2 occupation classes total per the coverage audit.,"A Boston fire (interest-arbitration-heavy, large department) source would materially strengthen this city's triad status.",scan_more,High-value target if a fire source can be added: Boston is otherwise the corpus's largest single city.
MA,Georgetown,codified_evidence,ingested,yes,matched_pair,MA cross-occupation base (CLM-2026-07-12-03),CLM-2026-07-12-03,classification_reclassification_or_grade_structure,ma_georgetown_police_2020;ma_georgetown_other_2020,"2 codified contracts (police, other/custodians); 41 evidence-layer rows.",A small-town police/non-safety pair; useful as a smaller-jurisdiction contrast to Franklin/Seekonk but has no fire leg.,No fire leg; 'other' occupation class needs recognition-clause confirmation for any more specific label.,"A Georgetown fire source, if the town has a paid or call department with a written agreement.",scan_more,Small-town case; lower priority than completing Boston's triad given town size.
MA,Somerville,codified_evidence,ingested,yes,safety_only,Arbitration distinction (CLM-2026-07-12-06); comparator wage evidence gap (CLM-2026-07-12-07),CLM-2026-07-12-06;CLM-2026-07-12-07,interest_arbitration_or_formal_impasse_backstop;peer_comparator_wage_comparability,ma_somerville_police_spsoa_2012,"1 codified arbitration award (9 verified-present attributes, the richest single contract in the corpus per source_inventory); 22 evidence-layer rows.","Somerville's police arbitration award is the corpus's single strongest source for the arbitration-distinction claim and its only verified peer-comparator row, but it is unmatched -- flagged dead weight per AGENTS.md coverage discipline.",No non-safety comparison unit in the current corpus; per audit_coverage.py this is one of 5 currently unmatched safety units.,A Somerville non-safety (clerical/DPW/library) CBA in an overlapping cycle window.,scan_more,High-value gap: closing this match would let the corpus's strongest single source finally support a real triad comparison.
MA,Newton,codified_evidence,ingested,yes,safety_only,"Arbitration distinction (CLM-2026-07-12-06) -- context only, not primary support",CLM-2026-07-12-06,interest_arbitration_or_formal_impasse_backstop,ma_newton_police_2015,Contract present in data/contracts.csv; not among the cities enumerated in the codified evidence-layer breakdown in national_corpus_expansion_preflight_2026-07-12.md.,A second unmatched safety-only MA city; contributes contrast value but not currently part of primary claim support.,No non-safety comparison unit; unmatched per audit_coverage.py.,A Newton non-safety CBA in an overlapping cycle window.,scan_more,Lower priority than Somerville given Somerville's stronger existing evidence.
MA,Worcester,source_availability_hypothesis,ingested,no,matched_pair,Not yet claim-supporting -- ingested but uncodified,,,ma_worcester_fire_2017 (clerical_admin and public_works contracts also in data/contracts.csv),"3 contracts in data/contracts.csv (fire, clerical_admin, public_works) per the coverage gap audit; 0 evidence-layer rows -- not yet codified.","Worcester has a fire+2-non-safety set already ingested but has never been run through codify; it is evidence-eligible, not yet evidence-bearing.","No police leg; not codified, so it currently supports no claim directly.","Codify the 3 existing contracts; separately, a Worcester police source would complete the triad.",codify_more,Straightforward next step: codify what is already ingested before searching for more Worcester sources.
MA,Arlington,source_availability_hypothesis,ingested,no,matched_pair,Not yet claim-supporting -- ingested but uncodified,,,ma_arlington_fire_2021 (public_works contract also in data/contracts.csv),"2 contracts in data/contracts.csv (fire, public_works) per the coverage gap audit; not in the codified evidence-layer city list.",Fire+public_works pair already ingested but uncodified; no police leg present at all.,No police leg; not codified.,Codify the 2 existing contracts; an Arlington police source to complete the triad.,codify_more,Same pattern as Worcester: codify existing contracts before new sourcing.
OH,Columbus,codified_evidence,ingested,yes,matched_triad,Ohio matched triads (CLM-2026-07-12-01),CLM-2026-07-12-01,interest_arbitration_or_formal_impasse_backstop;classification_reclassification_or_grade_structure,oh_columbus_police_2023;oh_columbus_fire_2023;oh_columbus_other_2024,3 codified contracts (10-12 verified-present attributes each per source_inventory); 66 evidence-layer rows.,"One of Columbus's strongest single-city results: both safety rows show interest/impasse backstop language, non-safety shows classification/grade language -- the pattern CLM-01 is built on.","Binary present/not_found; no wage-effect size; Ohio may be unusually source-friendly, not yet shown to generalize (H7).",Ohio SERB impasse/arbitration materials for the same cycle; a repeat cycle.,codify_more,CLM-01 is report_ready=yes at the state level; Columbus is one of its four supporting cities.
