evidence_id,run_id,run_date,source_output_file,contract_id,state,city,occupation_class,source_role,attribute,evidence_status,excerpt,excerpt_location,source_file,source_grounding_status,raw_output_ref,notes,state_label,city_label,occupation_label,source_role_label,contract_label,attribute_label,attribute_definition,evidence_status_label,source_grounding_label,what_excerpt_shows
codify_20260709_tx_houston_fire_2024_peer_comparator_wage_comparability_0,2026-07-09_120200_full_codebook_live,2026-07-09,docs/analysis/gabriel_codify_full_codebook_outputs_2026-07-09.csv,tx_houston_fire_2024,TX,Houston,fire,fire,peer_comparator_wage_comparability,not_found,,,corpus/tx_houston/tx_houston_hpffa_fire_arbitration_award_2026.pdf,not_applicable,tmp/gabriel_codify_pilots/2026-07-09_120200_full_codebook_live/gabriel_save_dir/tx_houston_fire_2024/coded_passages.csv,,Texas,Houston,Fire,Fire,"Houston Fire — Houston Professional Fire Fighters Association, Local 341, International Association of Fire Fighters arbitration award, 2024–2029",Peer / comparator wage comparison,"Explicit use of peer cities, comparable communities, external labor markets, comparator jurisdictions, or comparable bargaining units to justify wage levels, increases, or schedules.",No evidence found,Not applicable,No excerpt was returned for this attribute in the selected source window.
codify_20260709_tx_houston_fire_2024_interest_arbitration_or_formal_impasse_backstop_0,2026-07-09_120200_full_codebook_live,2026-07-09,docs/analysis/gabriel_codify_full_codebook_outputs_2026-07-09.csv,tx_houston_fire_2024,TX,Houston,fire,fire,interest_arbitration_or_formal_impasse_backstop,not_found,,,corpus/tx_houston/tx_houston_hpffa_fire_arbitration_award_2026.pdf,not_applicable,tmp/gabriel_codify_pilots/2026-07-09_120200_full_codebook_live/gabriel_save_dir/tx_houston_fire_2024/coded_passages.csv,,Texas,Houston,Fire,Fire,"Houston Fire — Houston Professional Fire Fighters Association, Local 341, International Association of Fire Fighters arbitration award, 2024–2029",Interest arbitration / formal impasse backstop,"Wage-setting or successor-contract settlement shaped by formal impasse institutions, such as interest arbitration, conciliation, factfinding, mediation-to-award processes, or bargaining in the shadow of formal impasse resolution. Excludes ordinary grievance arbitration.",No evidence found,Not applicable,No excerpt was returned for this attribute in the selected source window.
codify_20260709_tx_houston_fire_2024_grievance_or_contract_interpretation_arbitration_0,2026-07-09_120200_full_codebook_live,2026-07-09,docs/analysis/gabriel_codify_full_codebook_outputs_2026-07-09.csv,tx_houston_fire_2024,TX,Houston,fire,fire,grievance_or_contract_interpretation_arbitration,present,"(b) With respect to the application, interpretation and enforcement of the provisions of this Agreement the decision of the arbitrator shall be final and binding on the parties to this Agreement.",,corpus/tx_houston/tx_houston_hpffa_fire_arbitration_award_2026.pdf,grounded,tmp/gabriel_codify_pilots/2026-07-09_120200_full_codebook_live/gabriel_save_dir/tx_houston_fire_2024/coded_passages.csv,,Texas,Houston,Fire,Fire,"Houston Fire — Houston Professional Fire Fighters Association, Local 341, International Association of Fire Fighters arbitration award, 2024–2029",Grievance or contract-interpretation arbitration,"Arbitration used for grievances, discipline, contract interpretation, enforcement, or disputes under an existing agreement. Excludes interest arbitration over successor contract terms.",Evidence found,Verified in source text,"This excerpt was coded as evidence of Grievance or contract-interpretation arbitration because it describes resolving disputes, discipline, or interpretation issues under an already-existing agreement -- not the process for setting new contract terms."
codify_20260709_tx_houston_fire_2024_grievance_or_contract_interpretation_arbitration_1,2026-07-09_120200_full_codebook_live,2026-07-09,docs/analysis/gabriel_codify_full_codebook_outputs_2026-07-09.csv,tx_houston_fire_2024,TX,Houston,fire,fire,grievance_or_contract_interpretation_arbitration,present,(c) The arbitrator's authority shall be limited to the interpretation and application of the terms of this Agreement...and shall have no...authority to establish provisions of a new agreement or variations of the present Agreement...,,corpus/tx_houston/tx_houston_hpffa_fire_arbitration_award_2026.pdf,grounded,tmp/gabriel_codify_pilots/2026-07-09_120200_full_codebook_live/gabriel_save_dir/tx_houston_fire_2024/coded_passages.csv,,Texas,Houston,Fire,Fire,"Houston Fire — Houston Professional Fire Fighters Association, Local 341, International Association of Fire Fighters arbitration award, 2024–2029",Grievance or contract-interpretation arbitration,"Arbitration used for grievances, discipline, contract interpretation, enforcement, or disputes under an existing agreement. Excludes interest arbitration over successor contract terms.",Evidence found,Verified in source text,"This excerpt was coded as evidence of Grievance or contract-interpretation arbitration because it describes resolving disputes, discipline, or interpretation issues under an already-existing agreement -- not the process for setting new contract terms."
codify_20260709_tx_houston_fire_2024_staffing_shortage_recruitment_retention_0,2026-07-09_120200_full_codebook_live,2026-07-09,docs/analysis/gabriel_codify_full_codebook_outputs_2026-07-09.csv,tx_houston_fire_2024,TX,Houston,fire,fire,staffing_shortage_recruitment_retention,not_found,,,corpus/tx_houston/tx_houston_hpffa_fire_arbitration_award_2026.pdf,not_applicable,tmp/gabriel_codify_pilots/2026-07-09_120200_full_codebook_live/gabriel_save_dir/tx_houston_fire_2024/coded_passages.csv,,Texas,Houston,Fire,Fire,"Houston Fire — Houston Professional Fire Fighters Association, Local 341, International Association of Fire Fighters arbitration award, 2024–2029","Staffing shortage, recruitment, or retention","Explicit concern about vacancies, recruitment, retention, hiring, turnover, staffing shortages, labor supply, attrition, or inability to fill positions.",No evidence found,Not applicable,No excerpt was returned for this attribute in the selected source window.
codify_20260709_tx_houston_fire_2024_minimum_staffing_or_continuous_coverage_0,2026-07-09_120200_full_codebook_live,2026-07-09,docs/analysis/gabriel_codify_full_codebook_outputs_2026-07-09.csv,tx_houston_fire_2024,TX,Houston,fire,fire,minimum_staffing_or_continuous_coverage,not_found,,,corpus/tx_houston/tx_houston_hpffa_fire_arbitration_award_2026.pdf,not_applicable,tmp/gabriel_codify_pilots/2026-07-09_120200_full_codebook_live/gabriel_save_dir/tx_houston_fire_2024/coded_passages.csv,,Texas,Houston,Fire,Fire,"Houston Fire — Houston Professional Fire Fighters Association, Local 341, International Association of Fire Fighters arbitration award, 2024–2029",Minimum staffing / continuous coverage,"Minimum staffing, required crew levels, continuous coverage, 24/7 service obligations, station coverage, mandatory coverage, or inability to defer service.",No evidence found,Not applicable,No excerpt was returned for this attribute in the selected source window.
codify_20260709_tx_houston_fire_2024_overtime_callback_holdover_mandatory_extra_work_0,2026-07-09_120200_full_codebook_live,2026-07-09,docs/analysis/gabriel_codify_full_codebook_outputs_2026-07-09.csv,tx_houston_fire_2024,TX,Houston,fire,fire,overtime_callback_holdover_mandatory_extra_work,present,"FFs not regularly scheduled but pre-scheduled for overtime, called in on overtime or held over on overtime on a City Recognized Holiday shall receive time and one half for each hour of work performed...",,corpus/tx_houston/tx_houston_hpffa_fire_arbitration_award_2026.pdf,grounded,tmp/gabriel_codify_pilots/2026-07-09_120200_full_codebook_live/gabriel_save_dir/tx_houston_fire_2024/coded_passages.csv,,Texas,Houston,Fire,Fire,"Houston Fire — Houston Professional Fire Fighters Association, Local 341, International Association of Fire Fighters arbitration award, 2024–2029","Overtime, callback, holdover, or mandatory extra work","Overtime, callback, holdover, mandatory overtime, court time, extra duty, standby/on-call, shift extension, or premium compensation for extra work demands.",Evidence found,Verified in source text,"This excerpt was coded as evidence of Overtime, callback, holdover, or mandatory extra work because it describes overtime, callback, holdover, mandatory extra duty, or standby/on-call pay."
codify_20260709_tx_houston_fire_2024_overtime_callback_holdover_mandatory_extra_work_1,2026-07-09_120200_full_codebook_live,2026-07-09,docs/analysis/gabriel_codify_full_codebook_outputs_2026-07-09.csv,tx_houston_fire_2024,TX,Houston,fire,fire,overtime_callback_holdover_mandatory_extra_work,present,"FFs not regularly scheduled, but pre-scheduled for overtime, called in on overtime or held over on",,corpus/tx_houston/tx_houston_hpffa_fire_arbitration_award_2026.pdf,grounded,tmp/gabriel_codify_pilots/2026-07-09_120200_full_codebook_live/gabriel_save_dir/tx_houston_fire_2024/coded_passages.csv,,Texas,Houston,Fire,Fire,"Houston Fire — Houston Professional Fire Fighters Association, Local 341, International Association of Fire Fighters arbitration award, 2024–2029","Overtime, callback, holdover, or mandatory extra work","Overtime, callback, holdover, mandatory overtime, court time, extra duty, standby/on-call, shift extension, or premium compensation for extra work demands.",Evidence found,Verified in source text,"This excerpt was coded as evidence of Overtime, callback, holdover, or mandatory extra work because it describes overtime, callback, holdover, mandatory extra duty, or standby/on-call pay."
codify_20260709_tx_houston_fire_2024_classification_reclassification_or_grade_structure_0,2026-07-09_120200_full_codebook_live,2026-07-09,docs/analysis/gabriel_codify_full_codebook_outputs_2026-07-09.csv,tx_houston_fire_2024,TX,Houston,fire,fire,classification_reclassification_or_grade_structure,not_found,,,corpus/tx_houston/tx_houston_hpffa_fire_arbitration_award_2026.pdf,not_applicable,tmp/gabriel_codify_pilots/2026-07-09_120200_full_codebook_live/gabriel_save_dir/tx_houston_fire_2024/coded_passages.csv,,Texas,Houston,Fire,Fire,"Houston Fire — Houston Professional Fire Fighters Association, Local 341, International Association of Fire Fighters arbitration award, 2024–2029","Classification, reclassification, or wage-grade structure","Wage setting through classification systems, grades, steps, job titles, reclassification, compensation studies, wage schedules, or grade appeals.",No evidence found,Not applicable,No excerpt was returned for this attribute in the selected source window.
codify_20260709_tx_houston_fire_2024_training_certification_credential_premiums_0,2026-07-09_120200_full_codebook_live,2026-07-09,docs/analysis/gabriel_codify_full_codebook_outputs_2026-07-09.csv,tx_houston_fire_2024,TX,Houston,fire,fire,training_certification_credential_premiums,present,"The Parties agree that Article 17, Section 9, entitled EMT Suppression/EMT Administration Assignment Pay, will only be paid to Fire Fighters ('FFs') holding a current valid State of Texas EMT certification and serving on an EMS unit (basic unit, medic unit and squads),",Article 17,corpus/tx_houston/tx_houston_hpffa_fire_arbitration_award_2026.pdf,grounded,tmp/gabriel_codify_pilots/2026-07-09_120200_full_codebook_live/gabriel_save_dir/tx_houston_fire_2024/coded_passages.csv,,Texas,Houston,Fire,Fire,"Houston Fire — Houston Professional Fire Fighters Association, Local 341, International Association of Fire Fighters arbitration award, 2024–2029","Training, certification, credential, or education premiums","Wage premiums, stipends, incentives, requirements, or career ladders linked to training, certifications, degrees, licenses, credentials, or specialist qualifications.",Evidence found,Verified in source text,"This excerpt was coded as evidence of Training, certification, credential, or education premiums because it describes a wage premium, stipend, or incentive tied to training, certification, a credential, or a specialist qualification."
