span_extraction_id,rating_lane_id,stage,attempt,request_id,backend,model,status,schema_valid,input_sha256,input_chars,span_chars,context_chars,input_tokens,output_tokens,total_tokens,elapsed_seconds,error_type,error_code,raw_prompt_saved,raw_response_saved
CBSPAN-20260728-192582654e89d5cfacb5c654,rating_lane_001,live,1,resp_0855ca92af5bb73d006a695c92b97881948eb53df2c94d012e,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,47e023c23ae34963a40f363d86cebbde06ad03052a4b6b3851bfcdc3e33f1890,2270,94,500,974,243,1217,2.667200,,,false,false
CBSPAN-20260728-70cec8375d4e79fcac32613f,rating_lane_001,live,1,resp_0e2dd039ca64c617006a695c92b6488190af38dda42cfe6b7d,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,4bc0406f666f473673d3c0e45970a79fdd40ecc565d9d9425c4c389e8becfe81,2240,48,500,1012,195,1207,2.198708,,,false,false
CBSPAN-20260728-481ae1b2457427401d87ba77,rating_lane_001,live,1,resp_0bf1577492f26b34006a695c92b7108196993d6afdc23f123b,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,4f59cdb11c2fbe377ec37adf62c7938d493b97c13c2b9dcad4f27cb4a50b3cb5,2243,34,500,1014,288,1302,2.633334,,,false,false
CBSPAN-20260728-284d90c482ced0f472fae806,rating_lane_001,live,1,resp_015d508df97f9430006a695c92b9848194862acef2e5779221,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,6eb637ffc4424c7d6777417ea7dd3feb9d945282719c5f20f89802aa26b654a0,2235,29,500,1005,272,1277,2.692443,,,false,false
CBSPAN-20260728-87061bb8cc3938d999e0b6f7,rating_lane_001,live,1,resp_099ab704c6e036ed006a695c92b5388193a5b645572c73efe5,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,4129f4b51517ecd25e2565b23aedf690d6578c7550aba468a0e45a33b718e055,2338,88,500,1058,244,1302,3.768615,,,false,false
CBSPAN-20260728-4e63d727ac1e330f43b103c9,rating_lane_001,live,1,resp_07e5e86c127fe0ff006a695c92c09c8197bf97f839586fc7c3,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,a113d58e481425bcb6ad7b56d9c8e7400adb6c7d67ced72865d14cbf5d2271e2,2373,120,500,1069,259,1328,2.458916,,,false,false
CBSPAN-20260728-8a3e4d6a8971664f5999fff8,rating_lane_001,live,1,resp_0f533a196c98619b006a695c92bf088196aa3dfebbc1a8e03e,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,1550fdac9fa8759ccd84f6ffe88643832a2017ca6ddd3b17a83bdb92fa23bf8b,2334,59,500,1032,233,1265,2.398527,,,false,false
CBSPAN-20260728-2f7152d671bbf453a9291d58,rating_lane_001,live,1,resp_053e34bfeb648df0006a695c92b3548197ac66c387df27969e,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,2eb7ee2024c9d1f87ade4d417bb502ab7eea73a3ce20b20d33f9dda9b8a70254,2323,52,500,1011,208,1219,2.247982,,,false,false
CBSPAN-20260728-4665e43d4ac46226e07f25b0,rating_lane_001,live,1,resp_0944eb74b2b3df9e006a695c94cff08193ae65f0f65e203cf9,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,04f18ad9ed66ecb6476aee2eeba5f6fd6953fcbfdad9737d7cc43d2ae56b35ea,2299,51,500,1022,411,1433,6.270213,,,false,false
CBSPAN-20260728-fd172be317b8a9588406ed51,rating_lane_001,live,1,resp_021f2f65a9044294006a695c94d4c08197847b9bd20e6ca8c3,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,820c640cfca51775aed8747147b08384d865c95548a19868c832d530eeaf44b7,2291,41,500,1003,390,1393,5.321731,,,false,false
CBSPAN-20260728-58463383b52679ae09111a28,rating_lane_001,live,1,resp_085559a466541cb8006a695c953ebc8194979d3f1b52c98411,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,90d0d1ec1519232cc4b25c67776551119064baaf241dab0f87ef7c9a73c75f8c,2335,76,500,1001,190,1191,7.531147,,,false,false
